"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[hard]] to use",0.3285931944847107,0.6564335227012634,1,0,1,14,"Successful"
"[[playlists]] can be generated on the fly ( which is a bit clunky but still a [[really]] [[nice]] bonus ) or by using the software , and there are a [[bevy]] of eq [[options]]","[[playfeatures]] can be generated on the fly ( which is a bit clunky but still a [[one]] [[fun]] bonus ) or by using the software , and there are a [[bemore]] of eq [[disabled]]",0.3201460838317871,0.4397522211074829,1,1,1,157,"Failed"
"[[simply]] , the canon g3 is the [[best]] digital camera out there today at this price point","[[not]] , the canon g3 is the [[expensive]] digital camera out there today at this price point",0.3129688501358032,0.5711846351623535,1,0,1,94,"Successful"
"[[multimedia]] [[functions]] are [[enhanced]] by multi slide mms [[messages]] and a gallery for organizing digital content captured or downloaded with the phone","[[1]] [[emotions]] are [[disabled]] by multi slide mms [[texts]] and a gallery for organizing digital content captured or downloaded with the phone",0.35222452878952026,0.5,1,0,1,161,"Successful"
"[[oh]] , and [[another]] is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer","[[with]] , and [[why]] is the [[bright]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer",0.3129688501358032,0.512481153011322,1,0,1,145,"Successful"
"i 'd say that this camera is [[perfect]]","i 'd say that this camera is [[imperfect]]",0.3179440498352051,0.6243654489517212,1,0,1,39,"Successful"
"this is the [[best]] phone i have seen","this is the [[worst]] phone i have seen",0.3170270323753357,0.6714068055152893,1,0,1,22,"Successful"
"this one has a [[good]] looking","this one has a [[bad]] looking",0.33360493183135986,0.6371752023696899,1,0,1,9,"Successful"
"they [[made]] the other [[end]] of the camera flat so you can put the camera upright on a flat surface if you don 't [[like]] to take the usual horizontal pictures using the [[self]] [[timer]]","they [[wanted]] the other [[corner]] of the camera flat so you can put the camera upright on a flat surface if you don 't [[allow]] to take the usual horizontal pictures using the [[positive]] [[control]]",0.3572644591331482,0.5,1,0,1,223,"Successful"
"don 't [[care]] about [[sunlight]] it 's tft","don 't [[bother]] about [[sun]] it 's tft",0.3756345510482788,0.5488276481628418,1,0,1,29,"Successful"
"other than that , i [[love]] this camera","other than that , i [[dislike]] this camera",0.3214617371559143,0.6714068055152893,1,0,1,38,"Successful"
"the [[macro]] mode is [[exceptional]] , the [[pictures]] are very clear and you can take the pictures with the lens unbelievably [[close]] the subject","the [[camera]] mode is [[limited]] , the [[starts]] are very clear and you can take the pictures with the lens unbelievably [[or]] the subject",0.3170270323753357,0.3994244337081909,1,1,1,124,"Failed"
"i do not need to repeat what 's [[great]] about this phone","i do not need to repeat what 's [[that]] about this phone",0.3201460838317871,0.5,1,0,1,51,"Successful"
"the screen is very [[easy]] to [[read]] and the blue light is bright enough to read at [[night]] , but dim enough so it does n 't blind you when you stare too long","the screen is very [[difficult]] to [[watch]] and the blue light is bright enough to read at [[sometimes]] , but dim enough so it does n 't blind you when you stare too long",0.3201460838317871,0.5,1,0,1,153,"Successful"
"[[plusses]] are the easy to remove battery and the [[terrific]] sound [[produced]] by the nomad",".[[examples]] are the easy to remove battery and the [[the]] sound [[made]] by the nomad",0.3179440498352051,0.36282479763031006,1,1,1,77,"Failed"
"the [[camera]] was a marvel","the [[photographer]] was a marvel",0.339877188205719,0.35222452878952026,1,1,1,6,"Failed"
"the [[program]] is [[called]] nomad and works [[great]] for me and [[seems]] to cover all the features the included windows software does","the [[now]] is [[calling]] nomad and works [[more]] for me and [[doesn]] to cover all the features the included windows software does",0.32294362783432007,0.512481153011322,1,0,1,134,"Successful"
"these tasks are faster and easier than in prior versions , and i found the menu to be much more [[navigable]]","these tasks are faster and easier than in prior versions , and i found the menu to be much more [[work]]",0.3201460838317871,0.5248501300811768,1,0,1,35,"Successful"
"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , [[saved]] me hours of re entering my numbers","the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , [[spent]] me hours of re entering my numbers",0.3179440498352051,0.5,1,0,1,62,"Successful"
"i can [[tell]] [[using]] the phone that it feels a little flimsier than motorola 's do , but as [[long]] as i 'm not planning on [[dropping]] the phone or running over it with my car it should be just [[fine]]","i can [[kick]] [[being]] the phone that it feels a little flimsier than motorola 's do , but as [[only]] as i 'm not planning on [[flying]] the phone or running over it with my car it should be just [[okay]]",0.3829374313354492,0.5,1,0,1,484,"Successful"
"the digital zoom takes as [[good]] of pictures , as the optical zoom does !","the digital zoom takes as [[some]] of pictures , as the optical zoom does !",0.33360493183135986,0.512481153011322,1,0,1,54,"Successful"
"what [[impressed]] me most was the sound","what [[puzzled]] me most was the sound",0.3201460838317871,0.487518846988678,1,1,1,24,"Failed"
"could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight","could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight",0.5602477788925171,0.5602477788925171,0,0,1,1,"Skipped"
"it [[comes]] with a [[good]] case that fits it snugly","it [[requires]] with a [[better]] case that fits it snugly",0.3189789056777954,0.4630010724067688,1,1,1,65,"Failed"
"[[yes]] , the picture quality and features which are too numerous to mention are [[unmatched]] for any camera in this price range","[[his]] , the picture quality and features which are too numerous to mention are [[un-desired]] for any camera in this price range",0.3133580684661865,0.5815783739089966,1,0,1,97,"Successful"
"it 's easy","it 's easy",0.3435664772987366,0.3435664772987366,1,1,1,2,"Failed"
"very fast powerup and [[great]] speed when taking multiple [[pictures]]","very fast powerup and [[large]] speed when taking multiple [[negative]]",0.32294362783432007,0.4630010724067688,1,1,1,65,"Failed"
"8 battery life is [[excellent]]","8 battery life is [[complete]]",0.3189789056777954,0.512481153011322,1,0,1,46,"Successful"
"[[everything]] that i have [[listed]] above , the zen has , and more","[[only]] that i have [[noted]] above , the zen has , and more",0.33095669746398926,0.512481153011322,1,0,1,69,"Successful"
"it 's easy to install the security on this product but linksys doesn 't do a good job of explaining why its important","it 's easy to install the security on this product but linksys doesn 't do a good job of explaining why its important",0.5488276481628418,0.5488276481628418,0,0,1,1,"Skipped"
"c i do [[love]] audio sync which allows a one click synchronization between the player and the music collection on the computer","c i do [[miss]] audio sync which allows a one click synchronization between the player and the music collection on the computer",0.3214617371559143,0.5,1,0,1,59,"Successful"
"it has fm radio option and i can [[listen]] to music [[anytime]]","it has fm radio option and i can [[see]] to music [[disabled]]",0.3170270323753357,0.5248501300811768,1,0,1,84,"Successful"
"it holds [[plenty]] of songs","it holds [[on]] of songs",0.33095669746398926,0.4630010724067688,1,1,1,42,"Failed"
