"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to [[aspen]] ?","how [[𝚏ar]] is it from denver to [[quiver]] ?",0.7193283438682556,0.760023295879364,5,5,5,26,"Failed"
"what county is [[modesto]] , california in ?","what county is [[modes𝚝o]] , california in ?",0.7327883839607239,0.7451002597808838,4,4,4,18,"Failed"
"who was [[galileo]] ?","who was [[galilean]] ?",0.7067540884017944,0.7287745475769043,3,3,3,17,"Failed"
"what is an [[atom]] ?","what is an [[a𝚝om]] ?",0.7799513339996338,0.78920578956604,2,2,2,14,"Failed"
"when did hawaii become a [[state]] ?","when did hawaii become a [[country]] ?",0.7675848007202148,0.7938949465751648,5,5,5,17,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.7051602602005005,0.8370976448059082,5,2,5,15,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.7937823534011841,0.7937823534011841,1,1,3,1,"Skipped"
"what is australia 's national flower ?","what is australia 's national flower ?",0.8183491826057434,0.8183491826057434,2,2,1,1,"Skipped"
"why does the [[moon]] turn orange ?","why does the [[mooո]] turn orange ?",0.7142987251281738,0.7611619830131531,2,2,2,14,"Failed"
"what is [[autism]] ?","what is [[auti]] [[sm]] ?",0.7174822092056274,0.7574439644813538,2,2,2,16,"Failed"
"what [[city]] had a world fair in [[1900]] ?","what [[ci𝚝y]] had a world fair in [[1৭00]] ?",0.7261285781860352,0.8096104264259338,4,4,4,23,"Failed"
"what [[person]] 's head is on a dime ?","what [[someone]] 's head is on a dime ?",0.7257155179977417,0.8483293056488037,3,0,3,17,"Successful"
"what is the average [[weight]] of a yellow [[labrador]] ?","what is the average [[ԝeight]] of a yellow [[lɑbrador]] ?",0.6984965801239014,0.7054697275161743,5,5,5,34,"Failed"
"who was the [[first]] man to [[fly]] across the pacific ocean ?","who was the [[firs𝚝]] man to [[fⅼy]] across the pacific ocean ?",0.7022845149040222,0.7135373950004578,3,3,3,27,"Failed"
"when did idaho become a [[state]] ?","when did idaho become a [[sta𝚝e]] ?",0.7650760412216187,0.7837949991226196,5,5,5,17,"Failed"
"what is the [[life]] expectancy for [[crickets]] ?","what is the [[ⅼife]] expectancy for [[cric𝒌ets]] ?",0.7048179507255554,0.7852712869644165,5,5,5,31,"Failed"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.84577476978302,0.84577476978302,5,5,1,1,"Skipped"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[plio]] ?",0.704667866230011,0.7150385975837708,3,3,3,17,"Failed"
"what is [[epilepsy]] ?","what is [[epilepsу]] ?",0.7136789560317993,0.740222692489624,2,2,2,18,"Failed"
"what [[year]] did the titanic sink ?","what [[leto]] did the titanic sink ?",0.7051849961280823,0.8400583863258362,5,3,5,15,"Successful"
"who was the [[first]] american to walk in [[space]] ?","who was the [[firs𝚝]] american to walk in [[spɑce]] ?",0.7037763595581055,0.7236251831054688,3,3,3,30,"Failed"
"what is a [[biosphere]] ?","what is a [[lifeforms]] ?",0.7680808901786804,0.7704957723617554,2,2,2,19,"Failed"
"what [[river]] in the us is known as the big muddy ?","what [[revere]] in the us is known as the big muddy ?",0.7611738443374634,0.8002176880836487,4,2,4,18,"Successful"
"what is [[bipolar]] disorder ?","what is [[bipartisan]] disorder ?",0.7088021039962769,0.7320587635040283,2,2,2,17,"Failed"
"what is [[cholesterol]] ?","what is [[ϲholesterol]] ?",0.7365990281105042,0.7504354119300842,2,2,2,21,"Failed"
"who [[developed]] the macintosh computer ?","who [[ԁeveloped]] the macintosh computer ?",0.7113908529281616,0.7179155349731445,3,3,3,20,"Failed"
"what is [[caffeine]] ?","what is [[caff]] [[eine]] ?",0.7375484108924866,0.7752636671066284,2,2,2,18,"Failed"
"what imaginary [[line]] is halfway between the north and south [[poles]] ?","what imaginary [[bloodline]] is halfway between the north and south [[columns]] ?",0.7875089049339294,0.8444585800170898,4,1,4,31,"Successful"
"where is john wayne [[airport]] ?","where is john wayne [[airpor𝚝]] ?",0.7066878080368042,0.7385447025299072,4,4,4,19,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[filipino]] in ?",0.7610675096511841,0.8014912009239197,4,4,4,21,"Failed"
"what is the average speed of the [[horses]] at the kentucky [[derby]] ?","what is the average speed of the [[հorses]] at the kentucky [[wolverhampton]] ?",0.6959028244018555,0.7167750597000122,5,5,5,32,"Failed"
"where are the [[rocky]] mountains ?","where are the [[roc𝒌y]] mountains ?",0.7022937536239624,0.7137660980224609,4,4,4,15,"Failed"
"what are [[invertebrates]] ?","what are [[reptile]] ?",0.7394394874572754,0.7733543515205383,2,2,2,23,"Failed"
"what is the [[temperature]] at the center of the earth ?","what is the [[weather]] at the center of the earth ?",0.6967982053756714,0.8443652391433716,5,2,5,22,"Successful"
"when did john f. [[kennedy]] get elected as [[president]] ?","when did john f. [[𝒌ennedy]] get elected as [[chairwoman]] ?",0.7337654829025269,0.8085483312606812,5,3,5,38,"Successful"
"how [[old]] was elvis presley when he [[died]] ?","how [[antigua]] was elvis presley when he [[did]] ?",0.6986185312271118,0.8434073328971863,5,2,5,26,"Successful"
"where is the [[orinoco]] river ?","where is the [[río]] river ?",0.699663519859314,0.7122619152069092,4,4,4,17,"Failed"
"how [[far]] is the service [[line]] from the net in tennis ?","how [[fr]] is the service [[ⅼine]] from the net in tennis ?",0.7131950259208679,0.7767905592918396,5,5,5,26,"Failed"
"how [[much]] fiber should you have per [[day]] ?","how [[mucho]] fiber should you have per [[jour]] ?",0.7045607566833496,0.7342572212219238,5,5,5,26,"Failed"
"how many great [[lakes]] are there ?","how many great [[la𝒌es]] are there ?",0.709168553352356,0.7354812622070312,5,5,5,16,"Failed"
"material called linen is made from what plant ?","material called linen is made from what plant ?",0.8028624057769775,0.8028624057769775,2,2,1,1,"Skipped"
"what is [[teflon]] ?","what is [[tefloո]] ?",0.719402551651001,0.7678951025009155,2,2,2,16,"Failed"
"what is [[amitriptyline]] ?","what is [[ami𝚝riptyline]] ?",0.7191793918609619,0.728253960609436,2,2,2,18,"Failed"
"what is a shaman ?","what is a shaman ?",0.815932035446167,0.815932035446167,3,3,2,1,"Skipped"
"what is the proper name for a female walrus ?","what is the proper name for a female walrus ?",0.8175698518753052,0.8175698518753052,2,2,1,1,"Skipped"
"what is a group of turkeys called ?","what is a group of turkeys called ?",0.827494740486145,0.827494740486145,2,2,1,1,"Skipped"
"how [[long]] did rip van winkle [[sleep]] ?","how [[protracted]] did rip van winkle [[selep]] ?",0.7091180086135864,0.7644606828689575,5,5,5,30,"Failed"
"what are [[triglycerides]] ?","what are [[𝚝riglycerides]] ?",0.7379249930381775,0.7588481903076172,2,2,2,18,"Failed"
"how many liters in a [[gallon]] ?","how many liters in a [[liters]] ?",0.6940827369689941,0.7112072706222534,5,5,5,18,"Failed"
"what is the name of the chocolate company in san francisco ?","what is the name of the chocolate company in san francisco ?",0.8429134488105774,0.8429134488105774,1,1,3,1,"Skipped"
"what are [[amphibians]] ?","what are [[reptile]] ?",0.7543425559997559,0.7758780121803284,2,2,2,20,"Failed"
"who discovered [[x-rays]] ?","who discovered [[x-ras]] ?",0.7103909254074097,0.7183480262756348,3,3,3,12,"Failed"
"which [[comedian]] 's [[signature]] line is `` can we talk '' ?","which [[comedy]] 's [[signa𝚝ure]] line is `` can we talk '' ?",0.7714250683784485,0.8465183973312378,3,1,3,37,"Successful"
"what is [[fibromyalgia]] ?","what is [[fibromyalgiɑ]] ?",0.7082557678222656,0.7300382852554321,2,2,2,17,"Failed"
"what is done with [[worn]] or outdated [[flags]] ?","what is done with [[worո]] or outdated [[pennant]] ?",0.7462868690490723,0.7827405333518982,2,2,2,45,"Failed"
"what does cc in [[engines]] mean ?","what does cc in [[engies]] mean ?",0.7554954886436462,0.7887404561042786,2,2,2,18,"Failed"
"when did elvis presley [[die]] ?","when did elvis presley [[de]] ?",0.767452597618103,0.8160179853439331,5,3,5,14,"Successful"
"what is the [[capital]] of yugoslavia ?","what is the [[capitalism]] of yugoslavia ?",0.7331767082214355,0.8505551815032959,4,2,4,17,"Successful"
"where is [[milan]] ?","where is [[juventus]] ?",0.701104998588562,0.7258949279785156,4,4,4,15,"Failed"
"what is the speed [[hummingbirds]] fly ?","what is the speed [[hummingbiⲅds]] fly ?",0.6981195211410522,0.7828923463821411,5,5,5,23,"Failed"
